cod_uf,estado,indice,oferta_serv
12,Acre,1.468,0.681
16,Amapá,1.000,1.000
13,Amazonas,1.000,1.000
15,Pará,1.000,1.000
11,Rondônia,1.744,0.574
14,Roraima,2.648,0.378
17,Tocantins,2.147,0.466
27,Alagoas,1.000,1.000
29,Bahia,1.831,0.546
23,Ceará,1.682,0.595
21,Maranhão,1.290,0.775
25,Paraíba,2.342,0.427
26,Pernambuco,2.147,0.466
22,Piauí,1.000,1.000
24,Rio Grande do Norte,1.691,0.591
28,Sergipe,1.724,0.580
53,Distrito Federal,1.000,1.000
52,Goiás,4.109,0.243
51,Mato Grosso,2.657,0.376
50,Mato Grosso do Sul,2.065,0.484
32,Espírito Santo,1.375,0.727
31,Minas Gerais,1.000,1.000
33,Rio de Janeiro,1.222,0.818
35,São Paulo,1.000,1.000
41,Paraná,1.000,1.000
43,Rio Grande do Sul,1.000,1.000
42,Santa Catarina,1.000,1.000
