,UF,Estado,Obitos,populacao,Producao_Hosp,Quantidade_resp,por_100k_ob,por_100k_resp,PH_percapita,Regiao
0,AC,Acre,641,894470,41683338.11,170,71.66,19.01,46.6,N
1,AL,Alagoas,2941,3351543,213140767.73999998,237,87.75,7.07,63.59,NE
2,AM,Amazonas,5443,4207714,217592004.46,392,129.36,9.32,51.71,N
3,AP,Amapá,711,861773,28512741.4,125,82.5,14.5,33.09,N
4,BA,Bahia,9010,14930634,931288194.9099993,957,60.35,6.41,62.37,NE
5,CE,Ceará,10936,9187103,632431907.73,354,119.04,3.85,68.84,NE
6,DF,Distrito Federal,4071,3055149,215803799.71,273,133.25,8.94,70.64,CO
7,ES,Espírito Santo,3830,4064052,370722896.14,429,94.24,10.56,91.22,SE
8,GO,Goiás,7526,7113540,521034306.0499999,707,105.8,9.94,73.25,CO
9,MA,Maranhão,3533,7114598,386180719.8500001,313,49.66,4.4,54.28,NE
10,MG,Minas Gerais,13278,21292666,1908702246.930001,974,62.36,4.57,89.64,SE
11,MS,Mato Grosso do Sul,2394,2809394,238513987.2,340,85.21,12.1,84.9,CO
12,MT,Mato Grosso,2890,3526220,213865998.54000005,272,81.96,7.71,60.65,CO
13,PA,Pará,7892,8690745,455548151.6000001,410,90.81,4.72,52.42,N
14,PB,Paraíba,3711,4039277,238295167.59000003,368,91.87,9.11,58.99,NE
15,PE,Pernambuco,11136,9616621,790796886.7800002,278,115.8,2.89,82.23,NE
16,PI,Piauí,2466,3281480,210017115.00999963,210,75.15,6.4,64.0,NE
17,PR,Paraná,8369,11516840,1389258026.6400018,966,72.67,8.39,120.63,S
18,RJ,Rio de Janeiro,30801,17366189,1037928091.0099998,1363,177.36,7.85,59.77,SE
19,RN,Rio Grande do Norte,2538,3534165,282470920.04,330,71.81,9.34,79.93,NE
20,RO,Rondônia,1866,1796460,112930775.11999996,288,103.87,16.03,62.86,N
21,RR,Roraima,616,631181,39794946.800000004,162,97.59,25.67,63.05,N
22,RS,Rio Grande do Sul,9225,11422973,1184925065.070001,1012,80.76,8.86,103.73,S
23,SC,Santa Catarina,5305,7252502,766514464.2999996,263,73.15,3.63,105.69,S
24,SE,Sergipe,2557,2318822,119830205.71000001,186,110.27,8.02,51.68,NE
25,SP,São Paulo,49998,46289333,3746208420.950001,1158,108.01,2.5,80.93,SE
26,TO,Tocantins,1220,1590248,96757505.66000003,226,76.72,14.21,60.84,N
